"qtd_familias_beneficiarias_bolsa_familia";"valor_repassado_bolsa_familia";"cod_ibge"
1800;272480;"110001"
4969;664551;"110002"
351;44622;"110003"
3404;441281;"110004"
855;116598;"110005"
663;88918;"110006"
702;99831;"110007"
1728;310243;"110008"
1717;229901;"110009"
4044;639280;"110010"
3560;457770;"110011"
4584;648578;"110012"
2825;376621;"110013"
2166;292303;"110014"
1389;179048;"110015"
1519;220744;"110018"
25056;3682011;"110020"
2214;355089;"110025"
343;49786;"110026"
2149;294968;"110028"
498;63958;"110029"
4172;625360;"110030"
1428;181957;"110032"
2993;434275;"110033"
1908;275936;"110034"
1000;145982;"110037"
1813;237532;"110040"
2962;423442;"110045"
929;127749;"110050"
347;46452;"110060"
1285;181031;"110070"
2045;322425;"110080"
288;44234;"110090"
707;139344;"110092"
1549;240087;"110094"
1293;177629;"110100"
881;120391;"110110"
743;97413;"110120"
892;114390;"110130"
1144;165408;"110140"
496;71170;"110143"
500;70836;"110145"
191;34185;"110146"
215;29119;"110147"
323;39829;"110148"
1655;219934;"110149"
1248;162869;"110150"
386;57919;"110155"
938;125046;"110160"
1235;172735;"110170"
868;133885;"110175"
698;95968;"110180"
1897;351576;"120001"
1052;306593;"120005"
3387;640002;"120010"
1253;236952;"120013"
1165;200763;"120017"
10337;2779767;"120020"
1683;312105;"120025"
5202;1505092;"120030"
1165;352442;"120032"
2688;780564;"120033"
1278;424083;"120034"
2614;746571;"120035"
1733;300036;"120038"
1382;391882;"120039"
25240;4465159;"120040"
2252;504764;"120042"
626;234823;"120043"
2598;593973;"120045"
5709;1366381;"120050"
5806;1794545;"120060"
1929;353120;"120070"
2475;489683;"120080"
2145;607991;"130002"
1513;323037;"130006"
1454;389594;"130008"
2071;416511;"130010"
1897;345017;"130014"
2018;580295;"130020"
5368;1293628;"130030"
2784;427381;"130040"
4572;1251504;"130050"
4510;1209828;"130060"
2381;689865;"130063"
2238;538170;"130068"
4666;818378;"130070"
3869;843257;"130080"
1575;310890;"130083"
2096;566756;"130090"
3987;1166592;"130100"
4970;839596;"130110"
3597;899276;"130115"
10532;2310752;"130120"
3229;819423;"130130"
5050;1422762;"130140"
2780;841282;"130150"
3054;629077;"130160"
2241;585797;"130165"
6189;1167191;"130170"
2954;623907;"130180"
5893;1298324;"130185"
11195;2015031;"130190"
1575;404567;"130195"
1371;235357;"130200"
991;254317;"130210"
1312;279962;"130220"
2867;715540;"130230"
6420;1623542;"130240"
11187;2376500;"130250"
3056;508526;"130255"
130216;19005872;"130260"
4975;1085368;"130270"
2822;895318;"130280"
7911;2253252;"130290"
3479;883715;"130300"
3864;915116;"130310"
2064;391273;"130320"
2784;691416;"130330"
13692;2647588;"130340"
2716;663573;"130350"
3606;622735;"130353"
3157;591371;"130356"
2407;530986;"130360"
3866;1160348;"130370"
6051;1665282;"130380"
3596;1022012;"130390"
1474;260362;"130395"
1338;375885;"130400"
6940;1180496;"130406"
2817;458485;"130410"
7548;1589173;"130420"
2554;655262;"130423"
1823;428625;"130426"
2607;566040;"130430"
2669;686652;"130440"
1165;268289;"140002"
2464;502019;"140005"
24193;3714851;"140010"
1678;370297;"140015"
2169;465735;"140017"
2680;567675;"140020"
1346;271204;"140023"
1377;217940;"140028"
2555;435430;"140030"
1289;383932;"140040"
1581;326028;"140045"
3305;503738;"140047"
886;142949;"140050"
940;142009;"140060"
1099;400504;"140070"
21980;4742418;"150010"
1141;217600;"150013"
10188;2025337;"150020"
5647;1072636;"150030"
3109;592630;"150034"
9048;1499982;"150040"
4571;1274993;"150050"
10618;1910706;"150060"
4106;1106544;"150070"
39809;5427961;"150080"
3599;798153;"150085"
7766;1471295;"150090"
3788;708127;"150095"
2440;662211;"150100"
2878;778827;"150110"
5028;834998;"150120"
391;65888;"150125"
13159;2685088;"150130"
113003;16034634;"150140"
2955;539813;"150145"
6698;1218617;"150150"
1944;321300;"150157"
2082;294415;"150160"
15585;2786981;"150170"
1997;312103;"150172"
1309;259507;"150175"
6515;1136936;"150178"
15059;3052431;"150180"
5284;1313368;"150190"
4010;908197;"150195"
3761;928966;"150200"
19786;3818836;"150210"
3281;530700;"150215"
7115;1013051;"150220"
7677;1059411;"150230"
18412;2380504;"150240"
3152;727778;"150250"
1407;263677;"150260"
4818;700586;"150270"
4410;875819;"150275"
1330;237706;"150276"
2943;415707;"150277"
4572;949532;"150280"
2166;421358;"150285"
6861;1352723;"150290"
4206;573878;"150293"
4332;701448;"150295"
1339;305888;"150300"
2550;436992;"150304"
4722;850790;"150307"
3951;637466;"150309"
4667;1335310;"150310"
6826;907047;"150320"
10055;1702358;"150330"
1697;287087;"150340"
4693;922264;"150345"
5725;956092;"150350"
12559;2208646;"150360"
6892;1167165;"150370"
2100;572881;"150375"
7010;1389901;"150380"
5635;1058354;"150390"
4537;788569;"150400"
4309;761982;"150405"
1072;218473;"150410"
16832;2623639;"150420"
5476;901597;"150430"
4197;749605;"150440"
13104;1918127;"150442"
3747;609889;"150445"
3522;945806;"150450"
4569;1192086;"150460"
12084;3037641;"150470"
2349;390074;"150475"
10248;2111570;"150480"
6040;1259210;"150490"
4093;993799;"150495"
1653;254979;"150497"
2307;330879;"150500"
1939;323332;"150503"
7458;1228301;"150506"
6650;1412788;"150510"
5088;1263505;"150520"
8969;1528571;"150530"
3223;694516;"150540"
3678;593112;"150543"
7267;1679940;"150548"
1461;356826;"150549"
11174;1617403;"150550"
9833;1330562;"150553"
1062;221990;"150555"
1316;232048;"150560"
1713;287149;"150563"
2904;618647;"150565"
4421;811813;"150570"
8087;1752778;"150580"
4597;1273259;"150590"
5919;1681607;"150600"
1582;330938;"150610"
2032;409488;"150611"
5662;804163;"150613"
1375;196327;"150616"
4130;622105;"150618"
3775;686404;"150619"
4550;748891;"150620"
3340;733564;"150630"
2271;354943;"150635"
1442;285518;"150640"
7264;1012510;"150650"
3571;616273;"150655"
2839;404611;"150658"
3659;527120;"150660"
4475;715142;"150670"
29443;4769274;"150680"
1336;236123;"150690"
4484;774988;"150700"
2975;577558;"150710"
3202;525623;"150715"
4752;995514;"150720"
7030;1297367;"150730"
2255;309107;"150740"
3479;551378;"150745"
929;195340;"150746"
3563;614324;"150747"
2345;512899;"150750"
7781;1303908;"150760"
4277;1188229;"150770"
552;94414;"150775"
2547;626549;"150780"
3602;688218;"150790"
10437;1723028;"150795"
2019;329304;"150796"
2551;649471;"150797"
8673;1502642;"150800"
4521;848206;"150803"
1849;339111;"150805"
2551;324877;"150808"
9867;1902640;"150810"
3623;725575;"150812"
5860;1120590;"150815"
7500;1406752;"150820"
9650;2791037;"150830"
1332;217388;"150835"
3778;620867;"150840"
543;121374;"160005"
1001;218586;"160010"
1360;340204;"160015"
1399;262543;"160020"
705;167494;"160021"
757;172906;"160023"
818;215329;"160025"
5521;831276;"160027"
28656;4856971;"160030"
2499;817473;"160040"
2065;308600;"160050"
2189;407072;"160053"
419;114607;"160055"
11314;1801982;"160060"
1856;515155;"160070"
1929;575713;"160080"
309;51667;"170025"
660;98299;"170030"
636;86272;"170035"
1118;223975;"170040"
716;117037;"170070"
1286;261102;"170100"
382;61285;"170105"
469;77831;"170110"
708;109311;"170130"
690;94654;"170190"
529;68934;"170200"
12500;1704487;"170210"
742;141659;"170215"
3601;588145;"170220"
652;107522;"170230"
1579;288607;"170240"
1859;284442;"170255"
461;64646;"170270"
1500;363539;"170290"
1083;199511;"170300"
345;50444;"170305"
533;107131;"170307"
740;105455;"170310"
469;68647;"170320"
503;111950;"170330"
210;34187;"170360"
669;101356;"170370"
933;133476;"170380"
303;53168;"170382"
948;182007;"170384"
368;60675;"170386"
243;38785;"170388"
636;124684;"170389"
719;161704;"170390"
310;66716;"170410"
135;20723;"170460"
392;79128;"170510"
2578;325947;"170550"
596;87440;"170555"
537;101968;"170560"
839;125179;"170600"
813;159428;"170610"
138;20419;"170625"
600;96483;"170650"
1835;279443;"170700"
949;162257;"170710"
1190;177859;"170720"
469;70554;"170730"
1443;281307;"170740"
350;52911;"170755"
551;72960;"170765"
1117;199510;"170770"
1965;301912;"170820"
305;51887;"170825"
926;219672;"170830"
1823;373720;"170900"
1850;257993;"170930"
4401;553706;"170950"
213;32259;"170980"
1067;240527;"171050"
940;143221;"171070"
584;82471;"171090"
271;38613;"171110"
377;56998;"171150"
273;37829;"171180"
860;177684;"171190"
490;99357;"171195"
303;41668;"171200"
186;31099;"171215"
462;113844;"171240"
261;38841;"171245"
535;89149;"171250"
195;32483;"171270"
498;74170;"171280"
1948;268109;"171320"
1537;226934;"171330"
837;163739;"171360"
359;51083;"171370"
631;84294;"171380"
445;74031;"171395"
988;153397;"171420"
520;84430;"171430"
1509;232068;"171488"
463;82157;"171500"
565;144612;"171510"
198;32747;"171515"
326;50360;"171525"
122;17323;"171550"
777;137194;"171570"
800;124526;"171575"
2098;309510;"171610"
1842;393676;"171620"
464;66954;"171630"
801;116273;"171650"
1216;179411;"171660"
795;108963;"171665"
972;133110;"171670"
675;127437;"171700"
335;45960;"171720"
503;70711;"171750"
587;90485;"171780"
873;149200;"171790"
333;77757;"171800"
4536;779202;"171820"
834;129040;"171830"
509;89597;"171840"
315;55181;"171845"
567;131407;"171850"
653;106532;"171855"
213;34162;"171865"
301;47618;"171870"
750;142462;"171875"
596;133678;"171880"
341;52619;"171884"
602;84981;"171886"
350;65326;"171888"
267;44904;"171889"
711;132739;"171890"
264;48376;"171900"
307;57324;"172000"
758;171972;"172010"
199;38560;"172015"
1564;261078;"172020"
345;58579;"172025"
764;173191;"172030"
653;113879;"172049"
752;161170;"172065"
1432;255287;"172080"
183;26098;"172085"
