"uf";"nome_mun";"pop_estimada";"cod_mun"
"RO";"Alta Floresta D'Oeste";25506;1100015
"RO";"Ariquemes";105896;1100023
"RO";"Cabixi";6289;1100031
"RO";"Cacoal";87877;1100049
"RO";"Cerejeiras";17959;1100056
"RO";"Colorado do Oeste";18639;1100064
"RO";"Corumbiara";8749;1100072
"RO";"Costa Marques";17031;1100080
"RO";"Espigão D'Oeste";32712;1100098
"RO";"Guajará-Mirim";47048;1100106
"RO";"Jaru";55806;1100114
"RO";"Ji-Paraná";131560;1100122
"RO";"Machadinho D'Oeste";37899;1100130
"RO";"Nova Brasilândia D'Oeste";21670;1100148
"RO";"Ouro Preto do Oeste";39840;1100155
"RO";"Pimenta Bueno";37786;1100189
"RO";"Porto Velho";511219;1100205
"RO";"Presidente Médici";22337;1100254
"RO";"Rio Crespo";3790;1100262
"RO";"Rolim de Moura";56664;1100288
"RO";"Santa Luzia D'Oeste";8362;1100296
"RO";"Vilhena";93745;1100304
"RO";"São Miguel do Guaporé";24059;1100320
"RO";"Nova Mamoré";28255;1100338
"RO";"Alvorada D'Oeste";16902;1100346
"RO";"Alto Alegre dos Parecis";13993;1100379
"RO";"Alto Paraíso";20569;1100403
"RO";"Buritis";38450;1100452
"RO";"Novo Horizonte do Oeste";10161;1100502
"RO";"Cacaulândia";6414;1100601
"RO";"Campo Novo de Rondônia";14354;1100700
"RO";"Candeias do Jamari";24719;1100809
"RO";"Castanheiras";3583;1100908
"RO";"Chupinguaia";10364;1100924
"RO";"Cujubim";21720;1100940
"RO";"Governador Jorge Teixeira";9933;1101005
"RO";"Itapuã do Oeste";10155;1101104
"RO";"Ministro Andreazza";10786;1101203
"RO";"Mirante da Serra";12308;1101302
"RO";"Monte Negro";16032;1101401
"RO";"Nova União";7796;1101435
"RO";"Parecis";5802;1101450
"RO";"Pimenteiras do Oeste";2417;1101468
"RO";"Primavera de Rondônia";3456;1101476
"RO";"São Felipe D'Oeste";6048;1101484
"RO";"São Francisco do Guaporé";19353;1101492
"RO";"Seringueiras";12617;1101500
"RO";"Teixeirópolis";4966;1101559
"RO";"Theobroma";11348;1101609
"RO";"Urupá";13198;1101708
"RO";"Vale do Anari";10999;1101757
"RO";"Vale do Paraíso";8138;1101807
"AC";"Acrelândia";14120;1200013
"AC";"Assis Brasil";6863;1200054
"AC";"Brasiléia";24311;1200104
"AC";"Bujari";9503;1200138
"AC";"Capixaba";10820;1200179
"AC";"Cruzeiro do Sul";82075;1200203
"AC";"Epitaciolândia";17038;1200252
"AC";"Feijó";32372;1200302
"AC";"Jordão";7685;1200328
"AC";"Mâncio Lima";17545;1200336
"AC";"Manoel Urbano";8765;1200344
"AC";"Marechal Thaumaturgo";17401;1200351
"AC";"Plácido de Castro";18336;1200385
"AC";"Porto Walter";11059;1200393
"AC";"Rio Branco";377057;1200401
"AC";"Rodrigues Alves";17464;1200427
"AC";"Santa Rosa do Purus";6021;1200435
"AC";"Senador Guiomard";21369;1200450
"AC";"Sena Madureira";42451;1200500
"AC";"Tarauacá";39427;1200609
"AC";"Xapuri";17894;1200708
"AC";"Porto Acre";17111;1200807
"AM";"Alvarães";15729;1300029
"AM";"Amaturá";11047;1300060
"AM";"Anamã";12653;1300086
"AM";"Anori";19749;1300102
"AM";"Apuí";21031;1300144
"AM";"Atalaia do Norte";18599;1300201
"AM";"Autazes";37752;1300300
"AM";"Barcelos";27589;1300409
"AM";"Barreirinha";31105;1300508
"AM";"Benjamin Constant";40417;1300607
"AM";"Beruri";18579;1300631
"AM";"Boa Vista do Ramos";18080;1300680
"AM";"Boca do Acre";33840;1300706
"AM";"Borba";39885;1300805
"AM";"Caapiranga";12622;1300839
"AM";"Canutama";15312;1300904
"AM";"Carauari";28111;1301001
"AM";"Careiro";36922;1301100
"AM";"Careiro da Várzea";28592;1301159
"AM";"Coari";83929;1301209
"AM";"Codajás";27303;1301308
"AM";"Eirunepé";34461;1301407
"AM";"Envira";19143;1301506
"AM";"Fonte Boa";20199;1301605
"AM";"Guajará";16085;1301654
"AM";"Humaitá";52354;1301704
"AM";"Ipixuna";27587;1301803
"AM";"Iranduba";46703;1301852
"AM";"Itacoatiara";98503;1301902
"AM";"Itamarati";8153;1301951
"AM";"Itapiranga";9040;1302009
"AM";"Japurá";4660;1302108
"AM";"Juruá";13581;1302207
"AM";"Jutaí";16200;1302306
