"NUMERO_CANDIDATO";"COD_MUN_IBGE";"QTDE_VOTOS"
11;1100015;9553
15;1100015;3638
12;1100023;19333
15;1100023;26808
15;1100031;1868
43;1100031;1858
10;1100049;12870
12;1100049;1604
13;1100049;1592
15;1100049;19715
25;1100049;7909
50;1100049;217
11;1100056;6421
15;1100056;3500
27;1100064;2085
40;1100064;4519
43;1100064;3126
12;1100072;2206
25;1100072;958
40;1100072;1604
19;1100080;1370
33;1100080;2775
45;1100080;2359
11;1100098;10402
22;1100098;2159
40;1100098;4351
12;1100106;7370
15;1100106;9722
31;1100106;2756
25;1100114;6042
45;1100114;21497
10;1100122;2587
22;1100122;18998
40;1100122;40613
15;1100130;5249
20;1100130;548
31;1100130;8534
40;1100130;2021
11;1100148;5322
14;1100148;2728
44;1100148;2426
27;1100155;9686
90;1100155;9062
14;1100189;8520
40;1100189;8890
65;1100189;1459
13;1100205;26629
14;1100205;135190
15;1100205;33379
22;1100205;12481
40;1100205;51456
45;1100205;206627
50;1100205;2171
13;1100254;5528
45;1100254;6340
15;1100262;1175
22;1100262;1348
15;1100288;7807
17;1100288;5028
40;1100288;4266
44;1100288;696
45;1100288;8236
11;1100296;2635
25;1100296;2420
70;1100296;328
15;1100304;21356
43;1100304;16822
50;1100304;1343
13;1100320;4382
25;1100320;6218
27;1100320;1426
12;1100338;9886
77;1100338;3077
11;1100346;3280
15;1100346;5180
15;1100379;4592
45;1100379;2095
11;1100403;2334
14;1100403;4544
40;1100403;2165
12;1100452;5267
13;1100452;4618
25;1100452;2619
77;1100452;3857
15;1100502;3786
45;1100502;2191
25;1100601;2178
40;1100601;934
12;1100700;1824
45;1100700;2121
77;1100700;2561
10;1100809;648
14;1100809;3061
15;1100809;2381
23;1100809;292
33;1100809;871
40;1100809;3361
65;1100809;3173
11;1100908;1353
45;1100908;1456
11;1100924;1032
20;1100924;1555
22;1100924;220
43;1100924;2004
12;1100940;3649
15;1100940;2123
45;1100940;359
55;1100940;1779
11;1101005;1063
12;1101005;2461
15;1101005;2442
12;1101104;851
14;1101104;592
15;1101104;1782
40;1101104;1649
13;1101203;2391
15;1101203;3140
12;1101302;1899
15;1101302;3557
27;1101302;541
11;1101401;1609
15;1101401;2933
25;1101401;3115
13;1101435;634
15;1101435;2067
55;1101435;1500
15;1101450;1548
40;1101450;1382
12;1101468;921
15;1101468;756
40;1101468;125
15;1101476;1049
43;1101476;288
45;1101476;1000
15;1101484;1086
